timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/09/24 06:52:10.742, 0 %, 0 %, 46897 MiB, 49140 MiB, 64.39 W
2026/09/24 06:52:10.943, 0 %, 0 %, 46897 MiB, 49140 MiB, 49.72 W
2026/09/24 06:52:11.143, 0 %, 0 %, 46897 MiB, 49140 MiB, 49.72 W
2026/09/24 06:52:11.343, 0 %, 0 %, 46897 MiB, 49140 MiB, 49.72 W
2026/09/24 06:52:11.543, 0 %, 0 %, 46897 MiB, 49140 MiB, 49.72 W
2026/09/24 06:52:11.744, 0 %, 0 %, 46897 MiB, 49140 MiB, 49.72 W
2026/09/24 06:52:11.944, 0 %, 0 %, 46897 MiB, 49140 MiB, 33.37 W
2026/09/24 06:52:12.144, 0 %, 0 %, 46897 MiB, 49140 MiB, 33.37 W
2026/09/24 06:52:12.344, 0 %, 0 %, 46897 MiB, 49140 MiB, 33.37 W
2026/09/24 06:52:12.545, 0 %, 0 %, 46897 MiB, 49140 MiB, 33.37 W
2026/09/24 06:52:12.745, 0 %, 0 %, 46897 MiB, 49140 MiB, 33.37 W
2026/09/24 06:52:12.945, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:13.145, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:13.346, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:13.546, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:13.746, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:13.946, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:14.147, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:14.347, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:14.547, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:14.747, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.50 W
2026/09/24 06:52:14.948, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.55 W
2026/09/24 06:52:15.148, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.55 W
2026/09/24 06:52:15.348, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.55 W
2026/09/24 06:52:15.548, 0 %, 0 %, 46897 MiB, 49140 MiB, 28.55 W
